row_no,slug,x_handle,display_name,language,timezone,wave,stage,publish_at_sgt,status,primary_angle,approved_copy,reference_copy_en,reference_copy_zh,utm_url,utm_content,requirements_json,prohibited_claims_json,required_facts,required_evidence,evidence_location,asset_status,source_validation_status,notes,source_en_xlsx,source_zh_xlsx,source_en_docx,source_zh_docx,campaign_link_enabled
1,crypto-dragon,@CryptoDragon001,CryptoDragon001,en,Asia/Singapore,Wave 1,magne_9d_v3,2026-07-21T12:30:00+08:00,Ready to Publish,Overall positioning: Web3-native AI smartphone,"Most Web3 phones begin with a wallet or token narrative. MAGNE.AI is taking a hardware-first route. MAGNE Phone Gen1 brings hardware-backed key protection, private on-device AI workflows, MAGNE L1, MHash L2 and native Web3 access into one physical device. The point is not to add another crypto app to Android — it is to design the phone itself as a secure gateway for ownership, intelligence and onchain interaction. The official create-wallet demo shows the device workflow rather than only a render. I’m watching how MAGNE connects these layers as it moves toward delivery. Create-wallet demo: https://youtube.com/shorts/ZMhyf6yImOc Media Kit: https://www.magne.ai/magne-web/media-kit.html","Most Web3 phones begin with a wallet or token narrative. MAGNE.AI is taking a hardware-first route. MAGNE Phone Gen1 brings hardware-backed key protection, private on-device AI workflows, MAGNE L1, MHash L2 and native Web3 access into one physical device. The point is not to add another crypto app to Android — it is to design the phone itself as a secure gateway for ownership, intelligence and onchain interaction. The official create-wallet demo shows the device workflow rather than only a render. I’m watching how MAGNE connects these layers as it moves toward delivery. Create-wallet demo: https://youtube.com/shorts/ZMhyf6yImOc Media Kit: https://www.magne.ai/magne-web/media-kit.html",多数Web3手机从钱包或Token叙事开始，MAGNE.AI选择了一条以硬件为先的路径。 MAGNE Phone Gen1把硬件级密钥保护、端侧私有AI、MAGNE L1、MHash L2和原生Web3入口整合进一台真实设备。重点不是在Android上再安装一个加密应用，而是把手机本身设计为连接数字所有权、智能能力和链上交互的安全入口。 产品、安全架构和网络体系已经可以公开查看。我正在关注MAGNE如何把这些层连接起来并推进交付。 https://www.magne.ai/,https://www.magne.ai/?utm_source=x&utm_medium=kol&utm_campaign=magne_9d_v3&utm_content=CryptoDragon001,CryptoDragon001,"[""Rewrite in the KOL's own voice and add one personal assessment."", ""Use the assigned evidence asset and retain all factual qualifiers."", ""Use the assigned Portal UTM link and submit the published post URL.""]","[""No guaranteed returns, price predictions, 100x, risk-free, or unannounced exchange-listing claims."", ""Do not describe testnets as mainnets."", ""Do not describe an early Agent Pay demo as full commercial deployment.""]","One device integrating hardware security, on-device AI, dual-chain infrastructure and agent capabilities",Create-wallet video + black/silver device images,https://www.magne.ai/magne-web/features-demo.html,PRESERVE_EXISTING_ASSETS; FORMAL_TASK_ASSETS_NOT_IMPORTED,PASS,SOURCE_VARIANCE: XLSX uses Features Demo; DOCX copy cites create-wallet video and Media Kit.; EXISTING_DEMO_PROFILE_REUSE,18-KOL Execution!row 4,V2_18人执行排期!row 4,paragraph 21,paragraph 21,true
2,olivelinex,@Olivelinex,Olivelinex,en,Asia/Singapore,Wave 1,magne_9d_v3,2026-07-21T17:30:00+08:00,Ready to Publish,CC EAL6+ secure element and hardware wallet,"Security on a Web3 phone should begin below the app layer. MAGNE.AI uses a three-layer architecture: a CC EAL2+ trusted execution environment, a CC EAL6+ secure element for key storage and signing, and encrypted NFC recovery. That separation matters because critical signing flows should not depend only on the normal Android environment. This does not mean “zero risk,” but it is materially different from a software-only wallet. NFC restore: https://youtube.com/shorts/bcHC_FbMrog Mnemonic restore: https://youtube.com/shorts/naYHLTVEeWw Media Kit: https://www.magne.ai/magne-web/media-kit.html","Security on a Web3 phone should begin below the app layer. MAGNE.AI uses a three-layer architecture: a CC EAL2+ trusted execution environment, a CC EAL6+ secure element for key storage and signing, and encrypted NFC recovery. That separation matters because critical signing flows should not depend only on the normal Android environment. This does not mean “zero risk,” but it is materially different from a software-only wallet. NFC restore: https://youtube.com/shorts/bcHC_FbMrog Mnemonic restore: https://youtube.com/shorts/naYHLTVEeWw Media Kit: https://www.magne.ai/magne-web/media-kit.html",Web3手机的安全不应只从应用层开始。MAGNE.AI采用三层架构：CC EAL2+可信执行环境、用于私钥存储和签名的CC EAL6+安全元件，以及NFC加密恢复。 这种隔离很重要，因为关键签名流程不应完全依赖普通Android环境。MAGNE正在把硬件级保护直接嵌入设备使用流程。 这不代表“零风险”，但它与在普通手机上安装软件钱包是明显不同的安全模式。 https://www.magne.ai/security-lookup.html,https://www.magne.ai/?utm_source=x&utm_medium=kol&utm_campaign=magne_9d_v3&utm_content=Olivelinex,Olivelinex,"[""Rewrite in the KOL's own voice and add one personal assessment."", ""Use the assigned evidence asset and retain all factual qualifiers."", ""Use the assigned Portal UTM link and submit the published post URL.""]","[""No guaranteed returns, price predictions, 100x, risk-free, or unannounced exchange-listing claims."", ""Do not describe testnets as mainnets."", ""Do not describe an early Agent Pay demo as full commercial deployment."", ""Do not claim absolute security or that keys can never be stolen.""]","Three-layer architecture: EAL2+ TEE, EAL6+ SE and NFC recovery",NFC restore + mnemonic restore videos + NFC Card image,https://youtube.com/shorts/bcHC_FbMrog,NOT_IMPORTED_NO_PORTAL_COMPATIBLE_FILE_URL,PASS,NEW_PROFILE_CANDIDATE,18-KOL Execution!row 5,V2_18人执行排期!row 5,paragraph 28,paragraph 28,true
3,milesdefix,@milesdefix,milesdefix,en,Asia/Singapore,Wave 1,magne_9d_v3,2026-07-21T21:30:00+08:00,Ready to Publish,One-tap Gemini access and hybrid AI experience,"MAGNE Phone Gen1 uses a practical hybrid-AI architecture rather than claiming that every AI workload runs locally. Its current on-device capability focuses on real-time call translation. For more complex assistant, reasoning and multimodal tasks, users can reach Gemini through a dedicated one-tap entry. This separation is clear: local AI handles a focused privacy-sensitive function, while Gemini provides broader cloud intelligence when needed. Gemini demo: https://youtube.com/shorts/u61eNffrhe0 Features Demo: https://www.magne.ai/magne-web/features-demo.html","MAGNE Phone Gen1 uses a practical hybrid-AI architecture rather than claiming that every AI workload runs locally. Its current on-device capability focuses on real-time call translation. For more complex assistant, reasoning and multimodal tasks, users can reach Gemini through a dedicated one-tap entry. This separation is clear: local AI handles a focused privacy-sensitive function, while Gemini provides broader cloud intelligence when needed. Gemini demo: https://youtube.com/shorts/u61eNffrhe0 Features Demo: https://www.magne.ai/magne-web/features-demo.html",MAGNE Phone Gen1采用务实的双AI架构，而不是声称所有AI任务都能在手机本地运行。 目前端侧AI能力聚焦于通话实时语音翻译，语音识别、语言处理和翻译流程尽量靠近设备执行，以降低延迟并加强隐私保护。对于更复杂的助手、推理和多模态任务，用户可以通过专属入口一键直达Gemini。 这一边界非常清晰：本地AI负责聚焦且涉及隐私的通话翻译，Gemini则在需要时提供更广泛的云端智能。 https://www.magne.ai/magne-web/magne-ai.html,https://www.magne.ai/?utm_source=x&utm_medium=kol&utm_campaign=magne_9d_v3&utm_content=milesdefix,milesdefix,"[""Rewrite in the KOL's own voice and add one personal assessment."", ""Use the assigned evidence asset and retain all factual qualifiers."", ""Use the assigned Portal UTM link and submit the published post URL.""]","[""No guaranteed returns, price predictions, 100x, risk-free, or unannounced exchange-listing claims."", ""Do not describe testnets as mainnets."", ""Do not describe an early Agent Pay demo as full commercial deployment."", ""Do not describe Gemini as on-device or offline, or claim all AI stays off-cloud.""]","Current on-device AI focuses on real-time call translation; complex assistant, reasoning and multimodal tasks use one-tap Gemini access",Gemini demo video + Features Demo page,https://youtube.com/shorts/u61eNffrhe0,NOT_IMPORTED_NO_PORTAL_COMPATIBLE_FILE_URL,PASS,EXISTING_DEMO_PROFILE_REUSE,18-KOL Execution!row 6,V2_18人执行排期!row 6,paragraph 35,paragraph 35,true
4,tokenovax,@tokenovax,tokenovax,en,Asia/Singapore,Wave 1,magne_9d_v3,2026-07-22T12:30:00+08:00,Ready to Publish,MAGNE L1 + MHash L2,"MAGNE.AI is not positioning the phone as a device with only a pre-installed wallet. It is building a device-to-chain stack. MAGNE L1 is designed around ownership, device identity and secure authorization. MHash L2, built with the OP Stack, supports scalable execution, service calls, payments and settlement. The phone becomes the user-facing gateway connecting both layers. Both networks are currently testnets, and their activity can be checked through public explorers. https://web3.magne.ai/network.html","MAGNE.AI is not positioning the phone as a device with only a pre-installed wallet. It is building a device-to-chain stack. MAGNE L1 is designed around ownership, device identity and secure authorization. MHash L2, built with the OP Stack, supports scalable execution, service calls, payments and settlement. The phone becomes the user-facing gateway connecting both layers. Both networks are currently testnets, and their activity can be checked through public explorers. https://web3.magne.ai/network.html",MAGNE.AI并不是把手机定位成“预装钱包的设备”，而是在建设一套从设备到链的基础设施。 MAGNE L1面向所有权、设备身份和安全授权；基于OP Stack的MHash L2支持扩展执行、服务调用、支付与结算。手机则成为连接两层网络的用户入口。 两条网络目前均为测试网，可通过公开浏览器验证。 https://web3.magne.ai/network.html,https://www.magne.ai/?utm_source=x&utm_medium=kol&utm_campaign=magne_9d_v3&utm_content=tokenovax,tokenovax,"[""Rewrite in the KOL's own voice and add one personal assessment."", ""Use the assigned evidence asset and retain all factual qualifiers."", ""Use the assigned Portal UTM link and submit the published post URL.""]","[""No guaranteed returns, price predictions, 100x, risk-free, or unannounced exchange-listing claims."", ""Do not describe testnets as mainnets."", ""Do not describe an early Agent Pay demo as full commercial deployment."", ""Do not claim either network is mainnet or describe L2 as L1.""]","L1 supports ownership and authorization; L2 supports scaling, service calls and settlement",DApp connection video + dual-chain architecture + both explorers,https://youtube.com/shorts/1k2nQIyhDsg,NOT_IMPORTED_NO_PORTAL_COMPATIBLE_FILE_URL,PASS,SOURCE_VARIANCE: XLSX includes DApp video; DOCX table emphasizes architecture and both explorers.; NEW_PROFILE_CANDIDATE,18-KOL Execution!row 7,V2_18人执行排期!row 7,paragraph 42,paragraph 42,true
5,web3dome,@Web3dome,Web3dome,en,Asia/Singapore,Wave 1,magne_9d_v3,2026-07-22T17:30:00+08:00,Ready to Publish,MAGNE Agent Pay and x402 payments,"AI agents need more than intelligence — they need a verifiable way to request services, authorize payments and record outcomes. MAGNE Agent Pay is exploring that workflow through x402: an agent can encounter a payment requirement, obtain authorization, complete a service payment and produce an onchain task receipt. MAGNE L1 supports device identity and authorization, while MHash L2 supports service calls and settlement. This is still an early demo, not a claim of full commercial deployment, but it shows how MAGNE connects AI agents with onchain payments. https://jerrysohigh-create.github.io/magne-web3/tc/agent-pay.html","AI agents need more than intelligence — they need a verifiable way to request services, authorize payments and record outcomes. MAGNE Agent Pay is exploring that workflow through x402: an agent can encounter a payment requirement, obtain authorization, complete a service payment and produce an onchain task receipt. MAGNE L1 supports device identity and authorization, while MHash L2 supports service calls and settlement. This is still an early demo, not a claim of full commercial deployment, but it shows how MAGNE connects AI agents with onchain payments. https://jerrysohigh-create.github.io/magne-web3/tc/agent-pay.html",AI Agent不仅需要智能，还需要一种可验证的服务请求、支付授权和结果记录方式。 MAGNE Agent Pay正在通过x402探索这一流程：Agent遇到支付要求后获得授权，完成服务支付，并生成链上任务收据。MAGNE L1支持设备身份与授权，MHash L2支持服务调用和结算。 目前这是早期演示，并非全面商业部署，但它展示了MAGNE连接AI Agent与链上支付的方向。 https://jerrysohigh-create.github.io/magne-web3/tc/agent-pay.html,https://www.magne.ai/?utm_source=x&utm_medium=kol&utm_campaign=magne_9d_v3&utm_content=Web3dome,Web3dome,"[""Rewrite in the KOL's own voice and add one personal assessment."", ""Use the assigned evidence asset and retain all factual qualifiers."", ""Use the assigned Portal UTM link and submit the published post URL.""]","[""No guaranteed returns, price predictions, 100x, risk-free, or unannounced exchange-listing claims."", ""Do not describe testnets as mainnets."", ""Do not describe an early Agent Pay demo as full commercial deployment."", ""Do not claim full commercialization or large-scale revenue.""]","AI agents can use x402 for service calls, payments and onchain settlement",Agent Pay Demo screenshots / recording,https://jerrysohigh-create.github.io/magne-web3/tc/agent-pay.html,NOT_IMPORTED_NO_PORTAL_COMPATIBLE_FILE_URL,PASS,NEW_PROFILE_CANDIDATE,18-KOL Execution!row 8,V2_18人执行排期!row 8,paragraph 49,paragraph 49,true
6,brad-nft,@Brad_nft,Brad_nft,en,Asia/Singapore,Wave 1,magne_9d_v3,2026-07-22T21:30:00+08:00,Ready to Publish,DePIN phone and device-network vision,"A DePIN device becomes more useful when it has real daily utility before network incentives are considered. MAGNE.AI starts with a functioning Android 15 smartphone and adds hardware security, on-device AI, device identity and native access to MAGNE L1/MHash L2. The longer-term vision is a network of verifiable devices that can participate in AI and Web3 services. The important distinction is that the phone is the product; the network layer extends what the device can do. https://web3.magne.ai/ecosystem.html","A DePIN device becomes more useful when it has real daily utility before network incentives are considered. MAGNE.AI starts with a functioning Android 15 smartphone and adds hardware security, on-device AI, device identity and native access to MAGNE L1/MHash L2. The longer-term vision is a network of verifiable devices that can participate in AI and Web3 services. The important distinction is that the phone is the product; the network layer extends what the device can do. https://web3.magne.ai/ecosystem.html",DePIN设备首先应该具备真实的日常用途，而不是只依赖网络奖励。 MAGNE.AI以一台可用的Android 15智能手机为基础，再叠加硬件安全、端侧AI、设备身份以及MAGNE L1／MHash L2原生入口。长期愿景是形成能够参与AI与Web3服务的可验证设备网络。 关键区别在于：手机本身就是产品，网络层是在扩展设备能力。 https://web3.magne.ai/ecosystem.html,https://www.magne.ai/?utm_source=x&utm_medium=kol&utm_campaign=magne_9d_v3&utm_content=Brad_nft,Brad_nft,"[""Rewrite in the KOL's own voice and add one personal assessment."", ""Use the assigned evidence asset and retain all factual qualifiers."", ""Use the assigned Portal UTM link and submit the published post URL.""]","[""No guaranteed returns, price predictions, 100x, risk-free, or unannounced exchange-listing claims."", ""Do not describe testnets as mainnets."", ""Do not describe an early Agent Pay demo as full commercial deployment.""]",The phone serves as both a Web3 gateway and a verifiable device-network node,Private Space video + mnemonic restore video + device image,https://youtube.com/shorts/BZOy194iYA8,NOT_IMPORTED_NO_PORTAL_COMPATIBLE_FILE_URL,PASS,SOURCE_VARIANCE: XLSX assigns Private Space/mnemonic/device; DOCX table describes device/DePIN evidence.; NEW_PROFILE_CANDIDATE,18-KOL Execution!row 9,V2_18人执行排期!row 9,paragraph 56,paragraph 56,true
7,altcoinbear1,@altcoinbear1,altcoinbear1,en,Asia/Singapore,Wave 2,magne_9d_v3,2026-07-24T12:30:00+08:00,Ready to Publish,"Physical device, specifications and Android 15","MAGNE.AI is moving beyond a concept deck with a physical Phone Gen1 platform. The device is built on the UNISOC T9100 5G platform with an 8 TOPS NPU, Android 15, up to 12GB RAM + 512GB storage, a 6.72-inch FHD+ 120Hz display, 5000mAh battery and NFC. Those specifications matter because MAGNE must work first as a usable smartphone before its security, AI and Web3 layers can create additional value. See the product and specifications: https://www.magne.ai/magne-web/magne-phone.html","MAGNE.AI is moving beyond a concept deck with a physical Phone Gen1 platform. The device is built on the UNISOC T9100 5G platform with an 8 TOPS NPU, Android 15, up to 12GB RAM + 512GB storage, a 6.72-inch FHD+ 120Hz display, 5000mAh battery and NFC. Those specifications matter because MAGNE must work first as a usable smartphone before its security, AI and Web3 layers can create additional value. See the product and specifications: https://www.magne.ai/magne-web/magne-phone.html",MAGNE.AI正在通过真实Phone Gen1平台走出概念阶段。 设备基于UNISOC T9100 5G平台，配备8 TOPS NPU、Android 15，最高12GB RAM＋512GB存储、6.72英寸FHD+ 120Hz屏幕、5000mAh电池及NFC。 这些规格很重要，因为MAGNE必须先成为一台可用的智能手机，其安全、AI和Web3能力才能创造额外价值。 产品与规格：https://www.magne.ai/magne-web/magne-phone.html,https://www.magne.ai/?utm_source=x&utm_medium=kol&utm_campaign=magne_9d_v3&utm_content=altcoinbear1,altcoinbear1,"[""Rewrite in the KOL's own voice and add one personal assessment."", ""Use the assigned evidence asset and retain all factual qualifiers."", ""Use the assigned Portal UTM link and submit the published post URL.""]","[""No guaranteed returns, price predictions, 100x, risk-free, or unannounced exchange-listing claims."", ""Do not describe testnets as mainnets."", ""Do not describe an early Agent Pay demo as full commercial deployment.""]","T9100, 8 TOPS, up to 12GB + 512GB, 120Hz, 5000mAh and Android 15",Black/silver high-resolution device images + specifications,https://www.magne.ai/magne-web/magne-phone.html,NOT_IMPORTED_NO_PORTAL_COMPATIBLE_FILE_URL,PASS,SOURCE_VARIANCE: schedule cites product page; content asset table cites Media Kit.; NEW_PROFILE_CANDIDATE,18-KOL Execution!row 10,V2_18人执行排期!row 10,paragraph 63,paragraph 63,true
8,crypto-panda,@CryptoPanda_gl,CryptoPanda_gl,en,Asia/Singapore,Wave 2,magne_9d_v3,2026-07-24T17:30:00+08:00,Ready to Publish,GMS/TAC/FCC/CE compliance progress,"Hardware credibility is built through verifiable milestones, not adjectives. MAGNE Phone Gen1 has Google GMS approval, GSMA TAC, public FCC records, completed CB work, passed UN38.3 and CP65 requirements, Widevine L1 support, and CE approval. Each item addresses a different part of platform compatibility, network identity, safety or market readiness. Together, they show a device program progressing through real compliance work rather than relying only on a roadmap. https://www.magne.ai/magne-web/magne-compliance.html","Hardware credibility is built through verifiable milestones, not adjectives. MAGNE Phone Gen1 has Google GMS approval, GSMA TAC, public FCC records, completed CB work, passed UN38.3 and CP65 requirements, Widevine L1 support, and CE approval. Each item addresses a different part of platform compatibility, network identity, safety or market readiness. Together, they show a device program progressing through real compliance work rather than relying only on a roadmap. https://www.magne.ai/magne-web/magne-compliance.html",硬件可信度来自可验证里程碑，而不是形容词。 MAGNE Phone Gen1已经获得Google GMS、GSMA TAC和CE已通过；FCC已有公开记录；CB已完成；UN38.3和CP65已通过，并支持Widevine L1。 这些项目分别对应平台兼容、网络身份、安全和市场准备。它们共同说明MAGNE正在推进真实设备的合规工作，而不只是发布路线图。 https://www.magne.ai/magne-web/magne-compliance.html,https://www.magne.ai/?utm_source=x&utm_medium=kol&utm_campaign=magne_9d_v3&utm_content=CryptoPanda_gl,CryptoPanda_gl,"[""Rewrite in the KOL's own voice and add one personal assessment."", ""Use the assigned evidence asset and retain all factual qualifiers."", ""Use the assigned Portal UTM link and submit the published post URL.""]","[""No guaranteed returns, price predictions, 100x, risk-free, or unannounced exchange-listing claims."", ""Do not describe testnets as mainnets."", ""Do not describe an early Agent Pay demo as full commercial deployment.""]","GMS Approved, TAC Obtained, FCC Public and CE Approved",Compliance page + lookup screenshots,https://www.magne.ai/magne-web/magne-compliance.html,NOT_IMPORTED_NO_PORTAL_COMPATIBLE_FILE_URL,PASS,SOURCE_NORMALIZATION: CE认证 normalized to CE已通过 per explicit campaign rule.; EXISTING_DEMO_PROFILE_REUSE,18-KOL Execution!row 11,V2_18人执行排期!row 11,paragraph 70,paragraph 70,true
9,caprishell,@CapriShell,CapriShell,en,Asia/Singapore,Wave 2,magne_9d_v3,2026-07-24T21:30:00+08:00,Ready to Publish,FIH manufacturing and EVT/DVT/PVT progress,"A product becomes credible when engineering validation is connected to a manufacturing path. MAGNE.AI has worked with FIH Mobile across product development and manufacturing preparation, progressing through EVT, DVT and PVT stages. Physical MAGNE Phone Gen1 units have also been shown publicly, including at WebX Tokyo. The current focus is production validation and delivery preparation — a very different stage from a project that exists only as a render or presentation. Official progress: https://www.magne.ai/","A product becomes credible when engineering validation is connected to a manufacturing path. MAGNE.AI has worked with FIH Mobile across product development and manufacturing preparation, progressing through EVT, DVT and PVT stages. Physical MAGNE Phone Gen1 units have also been shown publicly, including at WebX Tokyo. The current focus is production validation and delivery preparation — a very different stage from a project that exists only as a render or presentation. Official progress: https://www.magne.ai/",当工程验证与制造路径真正连接起来，产品才更可信。 MAGNE.AI与FIH Mobile合作推进产品开发和制造准备，已经历EVT、DVT及PVT阶段。MAGNE Phone Gen1实机也已在包括WebX Tokyo在内的公开活动中展示。 当前重点是生产验证和交付准备，这与只存在于渲染图或PPT中的项目完全不同。 官方进展：https://www.magne.ai/,https://www.magne.ai/?utm_source=x&utm_medium=kol&utm_campaign=magne_9d_v3&utm_content=CapriShell,CapriShell,"[""Rewrite in the KOL's own voice and add one personal assessment."", ""Use the assigned evidence asset and retain all factual qualifiers."", ""Use the assigned Portal UTM link and submit the published post URL.""]","[""No guaranteed returns, price predictions, 100x, risk-free, or unannounced exchange-listing claims."", ""Do not describe testnets as mainnets."", ""Do not describe an early Agent Pay demo as full commercial deployment."", ""Do not state unconfirmed production volumes or delivery dates.""]",FIH supports development and manufacturing; the program has progressed to PVT and delivery preparation,FIH/PVT images + WebX device media + official packaging images,https://www.magne.ai/magne-web/media-kit.html,NEEDS_CONFIRMATION; NOT_IMPORTED,PASS,NEEDS_CONFIRMATION: project manufacturing asset pack is missing/pending.; NEW_PROFILE_CANDIDATE,18-KOL Execution!row 12,V2_18人执行排期!row 12,paragraph 77,paragraph 77,true
10,cryptoscipher,@Cryptoscipher,Cryptoscipher,en,Asia/Singapore,Wave 2,magne_9d_v3,2026-07-25T12:30:00+08:00,Ready to Publish,"L1/L2 testnets, RPCs and explorers","MAGNE.AI’s network claims can be tested directly. MAGNE L1 and MHash L2 have public testnet RPCs and explorers. Users and developers can inspect blocks, transactions and network activity rather than relying only on screenshots or marketing descriptions. L1 focuses on ownership and authorization logic; the OP Stack-based L2 supports scalable execution and lower-friction service interaction. Both should be described accurately as testnets. L1 Explorer: https://explorer.testnet.magicalhash.com/ L2 Explorer: https://l2-explorer.testnet.magicalhash.com/","MAGNE.AI’s network claims can be tested directly. MAGNE L1 and MHash L2 have public testnet RPCs and explorers. Users and developers can inspect blocks, transactions and network activity rather than relying only on screenshots or marketing descriptions. L1 focuses on ownership and authorization logic; the OP Stack-based L2 supports scalable execution and lower-friction service interaction. Both should be described accurately as testnets. L1 Explorer: https://explorer.testnet.magicalhash.com/ L2 Explorer: https://l2-explorer.testnet.magicalhash.com/",MAGNE.AI的网络进展可以直接验证。 MAGNE L1与MHash L2均提供公开测试网RPC和区块浏览器，用户及开发者可以检查区块、交易和网络活动，而不是只依赖营销截图。 L1面向所有权与授权逻辑；基于OP Stack的L2支持扩展执行和低摩擦服务交互。两者都必须准确描述为测试网。 L1：https://explorer.testnet.magicalhash.com/ L2：https://l2-explorer.testnet.magicalhash.com/,https://www.magne.ai/?utm_source=x&utm_medium=kol&utm_campaign=magne_9d_v3&utm_content=Cryptoscipher,Cryptoscipher,"[""Rewrite in the KOL's own voice and add one personal assessment."", ""Use the assigned evidence asset and retain all factual qualifiers."", ""Use the assigned Portal UTM link and submit the published post URL.""]","[""No guaranteed returns, price predictions, 100x, risk-free, or unannounced exchange-listing claims."", ""Do not describe testnets as mainnets."", ""Do not describe an early Agent Pay demo as full commercial deployment.""]",Both testnets are publicly accessible for independent verification of network activity,L1/L2 explorer screenshots,https://explorer.testnet.magicalhash.com/,NOT_IMPORTED_NO_PORTAL_COMPATIBLE_FILE_URL,PASS,NEW_PROFILE_CANDIDATE,18-KOL Execution!row 13,V2_18人执行排期!row 13,paragraph 84,paragraph 84,true
